# English	Chinese
A rainy day?	下雨天？
Is it Su Yang's?	它是 Su Yang 的吗？
It is autumn. It is cool.	秋天到了。天气凉爽。
It is spring again. The birds are back.	又是春天了。鸟儿们回来了。
It is spring. It is warm.	春天到了。天气温暖。
It is summer. It is hot.	夏天到了。天气炎热。
It is winter. It is cold.	冬天到了。天气寒冷。
It's Friday today. Let's go to the cinema after school.	今天是星期五。放学后我们去电影院吧。
It's OK. Try again.	没关系。再试一次。
It's a good idea, but I have a dancing lesson today. I have two dancing lessons every week.	这是个好主意，但是我今天有舞蹈课。我每周有两节舞蹈课。
It's early.	还早呢。
It's eight!	八点了！
It's eleven thirty.	十一点半了。
It's four thirty. It's time for sport.	四点半了。该做运动了。
It's my mother's.	是我妈妈的。
It's nice and cool now.	现在天气很好，很凉爽。
It's nice here.	这里真好。
It's nine o'clock. It's time for bed.	九点了。该睡觉了。
It's rainy! It's rainy!	下雨了！下雨了！
It's seven o'clock.	七点了。
It's six fifteen. It's time to have dinner.	六点十五分了。该吃晚饭了。
It's six thirty!	六点半了！
It's sunny and warm.	晴朗又温暖。
It's time for IT.	该上信息科技课了。
It's time for PE.	该上体育课了。
It's time for breakfast.	该吃早餐了。
It's windy and cloudy now.	现在多风又多云。
Let's go and draw pictures there!	我们去那里画画吧！
Let's go to the sports ground!	我们去操场吧！
Let's go!	我们走吧！
Let's have lunch!	我们吃午饭吧！
Let's keep fit. Run, run, run!	让我们保持健康。跑，跑，跑！
Let's play!	我们玩吧！
Little Johnny wants to play.	小 Johnny 想要玩耍。
Look at the doll. Look at the robot.	看这个玩具娃娃。看这个机器人。
Look at this robot. His face is cute.	看这个机器人。他的脸很可爱。
Look! This is my father's new shirt. And this is my mother's coat.	看！这是我爸爸的新衬衫。这是我妈妈的外套。
Look, boys and girls. We have Chinese, Maths, English and Science. We also have Art, PE and Music.	看，同学们。我们有语文、数学、英语和科学。我们还有美术、体育和音乐。
Me too.	我也是。
Me too. I also like IT.	我也是。我也喜欢信息科技课。
Me too. I like swimming and playing ping-pong. What about you?	我也是。我喜欢游泳和打乒乓球。你呢？
Monday, Tuesday, Wednesday,	星期一、星期二、星期三，
Mouse? I'm here!	老鼠？我在这里！
Mum, do you like our dolls?	妈妈，你喜欢我们的玩具娃娃吗？
My doll is a boy. His eyes are small. His nose is small too. But his mouth is big. His arms and legs are long.	我的玩具娃娃是个男孩。他的眼睛很小。他的鼻子也很小。但是他的嘴巴很大。他的胳膊和腿很长。
My doll is a girl. Look at her lovely face. Her eyes are big. Her nose and mouth are small. Her hair is long.	我的玩具娃娃是个女孩。看她可爱的脸。她的眼睛很大。她的鼻子和嘴巴很小。她的头发很长。
Nice to see you again!	很高兴再次见到你们！
Now my legs are short!	现在我的腿短了！
OK!	好的！
OK.	好的。
OK. I'm free on Saturday.	好的。我星期六有空。
OK. Let's meet at ten.	好的。我们十点见。
OK. Thank you!	好的。谢谢你！
Oh no! It's hard for me.	哦不！这对我来说太难了。
Oh no! It's raining.	哦不！下雨了。
Oh no! It's seven thirty!	哦不！七点半了！
Oh, it's Saturday!	哦，今天是星期六！
Oh, where's the mouse?	哦，鼠标在哪里？
On Wednesday and Friday.	在星期三和星期五。
Rain, rain, go away.	雨啊，雨啊，快走开。
Saturday, Sunday.	星期六、星期日。
School? What day is it today?	学校？今天星期几？
Seasons come and seasons go.	季节来来去去。
Some wear cool caps or nice shirts.	有些人戴酷酷的帽子或穿漂亮的衬衫。
Some wear new dresses or bright skirts.	有些人穿新连衣裙或鲜艳的半身裙。
Sorry, I walk my dog on Tuesday and Friday.	抱歉，我星期二和星期五遛狗。
Sport is cool. Sport is fun.	运动很酷。运动很有趣。
Spring wind and summer sun.	春风和夏日阳光。
Sure!	当然！
Thank you! Ping-pong is great fun!	谢谢你！乒乓球非常有趣！
Thank you! Why do I wear sunglasses today? Guess!	谢谢你们！我今天为什么戴太阳镜？猜一猜！
Thank you, Mike!	谢谢你，Mike！
Thanks!	谢谢！
Thanks. We like wearing red clothes at Chinese New Year.	谢谢。我们喜欢在中国新年穿红色衣服。
That's what I love to do!	那就是我爱做的事！
The doll has long hair.	这个玩具娃娃有长头发。
The robot has long arms.	这个机器人有长胳膊。
These robots are cool!	这些机器人很酷！
They are fun to learn,	学起来很有趣，
They're Kitty's!	它们是 Kitty 的！
This is great fun! Can we play again tomorrow?	这太有趣了！我们明天还能再玩吗？
Thursday and then Friday.	星期四，然后是星期五。
To celebrate in our own special way.	用我们自己的特别方式庆祝。
Today is a rainy day! It's time to buy the toy car!	今天是下雨天！该买玩具汽车了！
Wash your face first, Bobby.	Bobby，先洗脸。
Wash your face. Don't be slow.	洗洗脸。不要慢吞吞。
We all like PE!	我们都喜欢体育课！
We can fly a kite.	我们可以放风筝。
We can have fun together with our friends. Let's have a show!	我们可以和朋友们一起玩得很开心。我们来办一场表演吧！
We eat ice cream.	我们吃冰激凌。
We go boating.	我们去划船。
We go climbing.	我们去爬山。
We go skating.	我们去滑冰。
We go swimming.	我们去游泳。
We have four seasons in a year.	一年有四个季节。
We like autumn.	我们喜欢秋天。
We like spring.	我们喜欢春天。
We like summer.	我们喜欢夏天。
We like winter.	我们喜欢冬天。
We love to dress up on the holiday,	我们喜欢在节日里盛装打扮，
We pick fruit.	我们摘水果。
We plant trees.	我们植树。
We play in the snow.	我们在雪地里玩。
Welcome back to school, class.	同学们，欢迎回到学校。
Well played!	好球！
What about tomorrow?	明天怎么样？
What about you, Mike?	你呢，Mike？
What subject do you like best, Bobby?	Bobby，你最喜欢什么学科？
What time is it now?	现在几点了？
What time is it, Mum?	妈妈，几点了？
What's the weather like today? Oh, it's cloudy.	今天天气怎么样？哦，多云。
What's the weather like today? Oh, it's sunny and hot.	今天天气怎么样？哦，晴朗又炎热。
When do you have dancing lessons?	你什么时候上舞蹈课？
Where are my friends?	我的朋友们在哪里？
Where can they be?	他们会在哪里呢？
Whose caps are those? They're so cute!	那些是谁的帽子？它们真可爱！
Whose skirt is this? Guess.	这是谁的裙子？猜一猜。
Wow!	哇！
Wow! You can talk!	哇！你会说话！
Wow, you have babies! And I have new friends!	哇，你们有宝宝了！我也有新朋友了！
Yes! They're cute.	喜欢！它们很可爱。
Yes, I can. Look!	是的，我会。看！
Yes, I do.	是的，我喜欢。
Yes, I do. Ping-pong is fun. But I can't play well.	是的，我喜欢。乒乓球很有趣。但是我打不好。
Yes, I want to go to school early.	是的，我想早点去学校。
Yes, it's lunchtime. Let's go and have lunch.	是的，该吃午饭了。我们去吃午饭吧。
Yes, you're right!	是的，你说对了！
You look cool in the cap. Whose cap is it?	你戴这顶帽子看起来很酷。这是谁的帽子？
You're so tall! Your legs are long.	你真高！你的腿很长。
You're up early today!	你今天起得真早！
Your dolls are great. They bring you lots of fun!	你们的玩具娃娃很棒。它们给你们带来很多乐趣！
Your red dress is beautiful!	你的红裙子很漂亮！
Your trousers are so big. Whose trousers are these?	你的裤子真大。这是谁的裤子？
