# Unit 1 Lead-in
Fruit is good for us!	水果对我们有好处！
# Unit 6 Lead-in
Pigs on the farm go "oink, oink".	农场里的猪"哼哼"叫。
Pigs on the farm go "oink, oink, oink".	农场里的猪"哼哼哼"叫。
The pigs go "oink, oink, oink".	猪们"哼哼哼"叫。
# Unit 6 Words
farm	农场
cow	奶牛
sheep	羊，绵羊
rabbit	兔子
chicken	鸡
carrot	胡萝卜
pig	猪
Welcome to ...	欢迎来到……
home	家，住所
these	这些
those	那些
help	帮助，协助
cute	可爱的
move	移动
# Unit 6 Cartoon
Hello, Sam. Hello, Bobby. Welcome to my home!	你好，Sam。你好，Bobby。欢迎来到我家！
Hello, Ruby!	你好，Ruby！
What are these?	这些是什么？
Yes, they are. They're carrots.	是的。它们是胡萝卜。
Are those carrots too?	那些也是胡萝卜吗？
Oh! Help me, please!	哦！请帮帮我！
# Unit 6 Story
Hello, Grandpa!	你好，爷爷！
Hello, boys! Welcome to my farm.	你们好，孩子们！欢迎来到我的农场。
What are these, Grandpa?	这些是什么，爷爷？
They're pigs.	它们是猪。
Is this a home for pigs?	这是猪的家吗？
Yes, it is.	是的。
What are those under the tree? Are they sheep?	树下面的那些是什么？它们是绵羊吗？
No, they aren't. They're cows.	不，不是。它们是奶牛。
These rabbits are very cute.	这些兔子很可爱。
Yes, they are. What do they like?	是的。它们喜欢什么？
They like carrots.	它们喜欢胡萝卜。
Are those chickens?	那些是鸡吗？
No, they aren't. They're ducks.	不，不是。它们是鸭子。
One, two, three, four ... Don't move, ducks!	一、二、三、四……别动，鸭子们！
Grandpa, your farm is fun.	爷爷，你的农场真有趣。
# Unit 7 Lead-in
Let's see the pandas at the zoo.	我们去动物园看熊猫吧。
They love to eat fresh bamboo.	它们喜欢吃新鲜的竹子。
They love to sleep and play.	它们喜欢睡觉和玩耍。
I can watch them all day.	我可以看它们一整天。
# Unit 7 Words
animal	动物
monkey	猴子
lion	狮子
bear	熊
tiger	老虎
panda	大熊猫
elephant	大象
fish	鱼；鱼肉
zoo	动物园
go	去，走
see	看，见
# Unit 7 Cartoon
It's lunchtime. Do you like cakes?	午餐时间到了。你喜欢蛋糕吗？
No, I don't. Do you like bananas?	不，我不喜欢。你喜欢香蕉吗？
7:No, I don't.	不，我不喜欢。
Do you like fish?	你喜欢鱼吗？
Yes, I do!	是的，我喜欢！
High five!	击掌！
High five. Five?	击掌。五？
# Unit 7 Story
Look at the tigers!	看那些老虎！
I like tigers. They're cool.	我喜欢老虎。它们很酷。
I like tigers too.	我也喜欢老虎。
Do you like bears, Mum?	妈妈，你喜欢熊吗？
Yes, I do. They're big.	是的，我喜欢。它们很大。
Do you like lions, Haohao?	浩浩，你喜欢狮子吗？
No, I don't! I like pandas!	不，我不喜欢！我喜欢熊猫！
Haohao, look at the monkeys. They're cute.	浩浩，看那些猴子。它们很可爱。
I like monkeys! Hi, Monkey! Would you like a banana?	我喜欢猴子！嗨，猴子！你想要一根香蕉吗？
Don't feed animals in the zoo!	不要在动物园喂动物！
Oh, I'm sorry!	哦，对不起！
That's all right. Let's go to see the pandas.	没关系。我们去看熊猫吧。
# Unit 8 Lead-in
What's on the tree? Can you see?	树上有什么？你能看见吗？
Red apples in a green sea.	绿海中的红苹果。
Can you pick an apple for me?	你能给我摘一个苹果吗？
I want a red apple from the tree.	我想要树上的一个红苹果。
# Unit 8 Words
colour	颜色，色彩
yellow	黄色的
blue	蓝色的
red	红色的
orange	橙红色的，橘黄色的
8:orange	橙红色的，橘黄色的
pink	粉红色的
green	绿色的
brown	棕色的
black	黑色的
white	白色的
buy	买
sure	（表示同意）当然
little	小的
What colour is ...?	……是什么颜色的？
How come?	怎么回事？
# Unit 8 Cartoon
Can I buy a balloon, Mum?	妈妈，我能买一个气球吗？
Sure.	当然。
Hello! I want a balloon.	你好！我想要一个气球。
What about you, Bobby?	Bobby，你呢？
OK. What colour? Pink, please.	好的。什么颜色？粉色，请。
I want a green balloon, a red balloon, an orange balloon ...	我想要一个绿色的气球、一个红色的气球、一个橙色的气球……
Bobby! That balloon is for you.	Bobby！那个气球是给你的。
# Unit 8 Story
Look, this is a chameleon. It's my little friend. What colour is it?	看，这是一只变色龙。它是我的小朋友。它是什么颜色的？
It's green.	它是绿色的。
What colour is it now? Can you see it?	它现在是什么颜色的？你能看见它吗？
Yes, it's here. It's brown.	是的，它在这里。它是棕色的。
Yes, it's here.	是的，它在这里。
It's brown.	它是棕色的。
It's yellow and red now.	它现在是黄色和红色的。
It's cool!	真酷！
Yes, my little friend is very cool.	是的，我的小朋友很酷。
What colour is it now?	它现在是什么颜色的？
It's green again!	它又变绿了！
How come?	怎么回事？
Wow!	哇！
