It's on the first floor. Come with me.	在一楼。跟我来。
I'm Yang Ling. Welcome.	我是杨玲。欢迎你。
I'm Nancy. Our school is so big.	我是 Nancy。我们的学校真大。
Thanks. You're so kind.	谢谢。你真友好。
Let's go to the art room first. It's on the first floor too.	我们先去美术教室吧。它也在一楼。
Great. Are there any computer rooms in our school?	太好了。我们学校有电脑教室吗？
Yes, there are. They're on the third floor. We can go there later.	有。它们在三楼。我们可以晚点去。
The music room is on the third floor too.	音乐教室也在三楼。
Is there a piano?	有钢琴吗？
Yes, there is.	有。
Right. Thank you for showing me around.	对。谢谢你带我参观。
Our classrooms are here on the second floor.	我们的教室在这里，在二楼。
You're welcome.	不用谢。
How do you keep safe on the road?	你怎样在路上保持安全？
Wait for the green traffic light.	等绿灯。
road	道路，公路
safety	安全，平安
bus	公共汽车，巴士
traffic light	交通信号灯
take	乘坐，搭乘
busy	人来车往的
stay	保持
close	接近，靠近
cross	穿越，横过
stop	停止，停下
wait	等候，等待
left	向左边
right	向右边
safe	安全的
Let's go to Aunt Alice's home.	我们去 Alice 阿姨家吧。
Great idea! We can take a bus.	好主意！我们可以乘公共汽车。
There are many cars and buses on the road.	路上有许多小汽车和公共汽车。
Yes, it's busy.	是的，车很多。
The traffic light is red now.	现在是红灯。
We can't go.	我们不能走。
Look! There are ducks on the road.	看！路上有鸭子。
We can't go again!	我们又不能走了！
Stay close! Don't run! Good little ducks.	靠近些！不要跑！好孩子。
Mum, let's cross the road.	妈妈，我们过马路吧。
Stop, Haohao!	停下，浩浩！
The traffic light is red. We can't cross the road now. Wait for the green traffic light.	红灯。我们现在不能过马路。等绿灯。
I'm sorry.	对不起。
Mum, the traffic light is green. We can go now.	妈妈，绿灯了。我们现在可以走了。
Wait. Look left and right first.	等一下。先左右看看。
That's right, Taotao.	对，涛涛。
It's safe now. We can cross the road.	现在安全了。我们可以过马路了。
That's our bus.	那是我们的公共汽车。
Haohao, don't run on the road! It's not safe.	浩浩，不要在路上跑！这不安全。
OK.	好的。
How do you take care of others?	你怎样照顾别人？
What's the matter?	怎么了？
care about	关心，关怀
hungry	感到饿的
thirsty	渴的，口渴的
ill	不舒服，有病
tired	疲倦的，疲劳的
hot	觉得闷热
water	水
have a rest	休息一下
home	到家，在家
bag	包，袋
bread	面包
dear	亲爱的
set the table	摆放餐具
I'm hot and thirsty, Bobby.	我又热又渴，Bobby。
Here's some water for you, Tom.	给你一些水，Tom。
I'm hungry, Bobby.	我饿了，Bobby。
Have a cake, Tom.	吃块蛋糕吧，Tom。
Tom, please be quiet. Let's have a rest.	Tom，请安静点。我们休息一下吧。
No, I want to play!	不，我想玩！
What's the matter, Bobby?	怎么了，Bobby？
I'm tired ...	我累了……
Can I come tomorrow?	我明天能来吗？
Hi, Mum! Let me take your coat.	嗨，妈妈！让我拿你的外套。
I can take your bag, Mum.	妈妈，我可以拿你的包。
Hi, I'm home!	嗨，我回家了！
What's the matter, Mum?	妈妈，怎么了？
I'm tired.	我累了。
Have a rest, Mum.	休息一下吧，妈妈。
Are you hungry, Mum? Would you like some bread?	妈妈，你饿吗？你想要些面包吗？
No, thanks. I'm not hungry. I'm thirsty.	不了，谢谢。我不饿。我渴了。
Here's some water.	这里有些水。
Thank you, dear.	谢谢你，亲爱的。
It's six thirty. It's time for dinner!	六点半了。该吃晚饭了！
Great! Let's set the table, Su Hai.	太好了！我们摆餐具吧，苏海。
How do you order food?	你怎样点餐？
What would you like?	你想要什么？
eat out	去饭店吃饭
fried rice	炒饭
spring roll	春卷
noodle	面条
tea	茶
juice	果汁
menu	菜单
fish and chips	炸鱼薯条
sandwich	三明治
hot dog	热狗
delicious	美味的，可口的
Anything else?	还要其他东西吗？
a glass of	一杯
a cup of	一杯
food	食物，食品
next time	下次
hot pot	火锅
takeaway box	打包盒
Let's eat there.	我们在那里吃吧。
Here's our menu. What would you like?	这是我们的菜单。你想要什么？
I'd like some fish and chips, please.	我想要一些炸鱼薯条。
A sandwich, please.	请给我一个三明治。
A hot dog?	热狗？
How's the hot dog?	热狗怎么样？
It's delicious!	很好吃！
I'd like some jiaozi.	我想要一些饺子。
I'd like some noodles.	我想要一些面条。
I'd like some fried rice and spring rolls.	我想要一些炒饭和春卷。
I'd like some spring rolls too. We can share them.	我也想要一些春卷。我们可以分享。
Can I help you?	要帮忙吗？
Yes. We'd like noodles, jiaozi, fried rice and spring rolls, please.	是的。我们想要面条、饺子、炒饭和春卷。
OK. Anything else?	好的。还要其他东西吗？
Two glasses of orange juice and a cup of tea, please.	请来两杯橙汁和一杯茶。
It's delicious. I love Chinese food!	真好吃。我喜欢中国食物！
Great! Next time, let's try hot pot. It's Sichuan food.	太好了！下次我们尝尝火锅。它是四川食物。
Two takeaway boxes, please!	请给我们两个打包盒！
What makes a job great?	什么让一份工作变得了不起？
Different jobs help people in different ways.	不同的工作以不同方式帮助人们。
job	工作，职业
driver	驾驶员，司机
nurse	护士
worker	工人
teacher	教师
doctor	医生
farmer	农民
cook	厨师；烹饪
police officer	警察
hospital	医院
parent	父亲，母亲
work	工作
sick	生病的，有病的
people	人，人们
taxi	出租汽车，的士
train	火车
place	地方
way	方法，方式
Look at the hospital, Henry! What about your parents?	看看医院，Henry！你的父母呢？
What are your parents' jobs, Bobby?	Bobby，你父母的工作是什么？
My dad is a doctor. My mum is a nurse. They help sick people.	我爸爸是医生。我妈妈是护士。他们帮助病人。
My dad is a driver. My mum is a worker. They're busy.	我爸爸是司机。我妈妈是工人。他们很忙。
Is your dad a bus driver?	你爸爸是公交车司机吗？
No, he isn't.	不，他不是。
My dad is a train driver. Look!	我爸爸是火车司机。看！
Wow! That's cool!	哇！真酷！
What are your parents' jobs, Liu Tao?	刘涛，你父母的工作是什么？
My father is a taxi driver. Drivers take people to different places. My mother is a cook. Cooks make delicious food.	我爸爸是出租车司机。司机把人们带到不同的地方。我妈妈是厨师。厨师做美味的食物。
What's your father's job?	你爸爸的工作是什么？
Doctors help sick people.	医生帮助病人。
What about your mother?	你妈妈呢？
She's a worker. She can make nice sweets.	她是工人。她会做好吃的糖果。
I love sweets!	我喜欢糖果！
What's your father's job, Yang Ling?	杨玲，你爸爸的工作是什么？
He's a police officer. Police officers keep us safe.	他是警察。警察保护我们的安全。
Teachers help children learn new things.	老师帮助孩子们学习新东西。
Our parents have great jobs. They help people in different ways.	我们的父母有很棒的工作。他们用不同方式帮助人们。
What chores can you do at home?	你在家能做什么家务？
I can do chores at home.	我能在家做家务。
chore	日常事务
dish	碟，盘
make the bed	铺床
what	什么
house	房屋，房子
Good job!	干得漂亮！
part of	……的一部分
so	所以
half	一半，半
past	晚于，过
weekend	周末
It's Sunday. Let's do some chores.	星期日到了。我们做些家务吧。
Bobby, what are you doing?	Bobby，你在做什么？
I'm washing the dishes.	我在洗盘子。
What are you doing now?	你现在在做什么？
I'm washing the clothes.	我在洗衣服。
I'm watering the flowers.	我在给花浇水。
You're watering the floor!	你在给地板浇水！
What a clean house!	多么干净的房子啊！
It's Saturday. Mum and Dad are doing chores. Mum is cooking lunch. Dad is washing the clothes.	星期六。妈妈和爸爸在做家务。妈妈在做午饭。爸爸在洗衣服。
Su Yang and I are also doing chores. We're part of the family, so we want to help. Su Yang is watering the flowers. What am I doing? I'm making the bed.	苏阳和我也在做家务。我们是家庭的一部分，所以我们想帮忙。苏阳在给花浇水。我在做什么？我在铺床。
It's half past twelve. It's after lunch. Mum is cleaning the table. Su Yang is washing the dishes. I'm feeding our cat.	十二点半了。午饭后，妈妈在擦桌子。苏阳在洗碗。我在喂猫。
Our home is clean and nice now. We have a busy weekend, but we all feel happy.	现在我们的家干净又漂亮。我们周末很忙，但我们都很开心。
How can you help in the kitchen?	你怎样在厨房帮忙？
I can help in the kitchen.	我能在厨房帮忙。
kitchen	厨房
milk	牛奶
tomato	番茄，西红柿
potato	马铃薯，土豆
chicken	鸡肉
egg	鸡蛋
birthday	生日
soup	汤
him	他
really	十分，非常
cut	切，割
meat	肉
I can't wait!	我等不及了！
get	去取
I can cook fish soup for him!	我可以为他做鱼汤！
Happy Birthday, Dad!	生日快乐，爸爸！
Sam, are you cooking?	Sam，你在做饭吗？
Oh, my fish soup!	哦，我的鱼汤！
Thank you! But be careful next time.	谢谢你！但是下次要小心。
Are you cooking dinner, Mum?	妈妈，你在做晚饭吗？
Yes, I am. I'm cutting the potatoes.	是的。我在切土豆。
You're busy. Can I help?	你很忙。我能帮忙吗？
Yes. Wash the tomatoes, please.	可以。请洗西红柿。
OK, Mum.	好的，妈妈。
Are you cooking meat, Dad?	爸爸，你在做肉吗？
Yes. I'm cooking Kung Pao Chicken.	是的。我在做宫保鸡丁。
Great! I can't wait! Let me get a dish for you.	太好了！我等不及了！让我给你拿个盘子。
Thank you, Taotao.	谢谢你，涛涛。
How's the chicken, Taotao?	鸡肉怎么样，涛涛？
It's delicious, Dad. You're a great cook!	很好吃，爸爸。你是很棒的厨师！
How are the potatoes, Haohao?	土豆怎么样，浩浩？
They're nice. I love potatoes!	很好吃。我喜欢土豆！
Have some tomato and egg soup, Dad and Mum.	爸爸妈妈，喝些番茄鸡蛋汤吧。
Thanks!	谢谢！
