Good morning.	早上好。
This is my dad.	这是我的爸爸。
Quick! Look in the pond.	快！看池塘里。
Hello, I'm Bobby. He's Sam.	你好，我是 Bobby。他是 Sam。
Hi, I'm Tad.	嗨，我是 Tad。
Hi.	嗨。
Who's she?	她是谁？
She's my mum. She's great.	她是我的妈妈。她很棒。
Hi, Liu Tao.	嗨，刘涛。
Hello, Su Hai. Come and meet my family.	你好，苏海。来见见我的家人。
This is my mother. This is my father.	这是我的妈妈。这是我的爸爸。
Hello, Su Hai.	你好，苏海。
Hi, I'm Su Hai.	嗨，我是苏海。
Who's he?	他是谁？
He's my brother.	他是我的弟弟。
Say hello, Liu Hao.	打个招呼，刘浩。
She's my sister, Su Yang.	她是我的妹妹，苏阳。
Nice to meet you, Su Yang.	很高兴认识你，苏阳。
Hi! Nice to meet you too.	嗨！我也很高兴认识你们。
Grandpa, grandma,	爷爷，奶奶，
Father, mother,	爸爸，妈妈，
Brother, sister,	哥哥弟弟，姐姐妹妹，
Uncle, aunt and cousin.	叔叔伯伯舅舅，阿姨姑姑伯母，还有堂表兄弟姐妹。
We all love each other!	我们都彼此相爱！
We are happy together!	我们在一起很幸福！
grandfather	祖父，外祖父
grandpa	祖父，外祖父
uncle	伯父，叔父，舅父，姑父，姨父
aunt	伯母，婶母，舅母，姑母，姨母
grandmother	祖母，外祖母
grandma	祖母，外祖母
cousin	堂兄（弟），堂姐（妹），表兄（弟），表姐（妹）
cool	很棒的，酷的
me	我
wow	哇，呀
big	大的
happy	幸福的
love	爱，热爱
He's my grandfather John.	他是我的爷爷 John。
Is he your father?	他是你的爸爸吗？
Yes, he is. He's John too.	是的。他也叫 John。
Who's this boy?	这个男孩是谁？
He's my cousin John.	他是我的表兄 John。
Cool!	酷！
Look, Bobby. This is ...	看，Bobby。这是……
John!	John！
No. This is me! My name is Sam.	不。这是我！我的名字是 Sam。
Look! This is my family.	看！这是我的家庭。
Wow! You have a big family.	哇！你有一个大家庭。
Yes. My grandpa, grandma, father, mother, uncle, aunt ...	是的。我的爷爷、奶奶、爸爸、妈妈、叔叔、阿姨……
No, he isn't.	不，他不是。
He's my grandpa.	他是我的爷爷。
Is she your mother?	她是你的妈妈吗？
No, she isn't. She's my aunt.	不，她不是。她是我的阿姨。
Who's the baby? Is it your cousin?	这个婴儿是谁？是你的表亲吗？
No, it isn't. It's me!	不，不是。那是我！
You have a happy family!	你有一个幸福的家庭！
Yes. I love my family.	是的。我爱我的家。
How old are you?	你多大了？
I'm nine today!	我今天九岁了！
Come to my party.	来参加我的聚会吧。
It's time to play!	该玩了！
Happy Birthday!	生日快乐！
one	一
two	二
three	三
four	四
five	五
six	六
seven	七
eight	八
nine	九
ten	十
now	现在，此刻
want	要，想要
car	小汽车，轿车
book	书
ball	球
cake	蛋糕，糕饼
How lovely!	真可爱！
Can I help you?	要帮忙吗？
Yes, please.	好的，谢谢。
some	一些
toy	玩具
for	给，对
OK	好，好，行
please	请
here	到这里，在这里
Here you are.	给你。
You're welcome.	别客气。不用谢。
thanks	谢谢
Happy Birthday, Bobby!	生日快乐，Bobby！
Thank you! I love you.	谢谢你们！我爱你们。
I'm two now.	我现在两岁了。
Right.	对。
One, two.	一，二。
I want a car.	我想要一辆小汽车。
I want a book. I want a ball. ...	我想要一本书。我想要一个球。……
Bobby! We want the cake!	Bobby！我们想要蛋糕！
Look! How lovely!	看！真可爱！
One, two, three, four, five!	一、二、三、四、五！
Hello! Can I help you?	你好！要帮忙吗？
Yes, please. I want some toys for my boys.	好的，谢谢。我想给我的两个男孩买些玩具。
OK! How old are you?	好的！你多大了？
I'm nine.	我九岁。
Cool! I love this.	酷！我喜欢这个。
Please come here.	请到这里来。
Three. I want this, please.	三岁。我想要这个。
OK!	好的！
Thank you!	谢谢！
Hi! How old are you?	嗨！你多大了？
Happy Birthday, Taotao.	生日快乐，涛涛。
Thanks, Dad! I love you.	谢谢，爸爸！我爱你。
I can sing a song for you.	我能为你唱一首歌。
I can draw a picture too.	我也能画一幅画。
I can dance-look at me!	我会跳舞，看我！
I can do things for my family.	我能为我的家人做事情。
can	能，会
do	做，干，办（某事）
clean	使……干净，打扫
table	桌子
draw	画，描画
sing	唱（歌），演唱
take pictures	拍照
dance	跳舞
Are you OK?	你没事吧？
dizzy	头晕目眩的，有眩晕的
picture	图画，绘画；照片
er	呃，哦
fox	狐狸
child	儿童，小孩
children	儿童，小孩
thing	事情
I can dance for you, Grandpa.	爷爷，我能为你跳舞。
Are you OK, Bobby?	Bobby，你没事吧？
Oh, I'm dizzy ...	哦，我头晕……
Grandpa, I can draw a picture for you.	爷爷，我能为你画一幅画。
Er, is this a fox?	呃，这是一只狐狸吗？
No, it's you!	不，是你！
Thank you, Bobby. I love you.	谢谢你，Bobby。我爱你。
I love you too, Grandpa.	我也爱你，爷爷。
It's New Year's Day. The children want to do things for the family.	今天是元旦。孩子们想为家人做事情。
I can sing.	我会唱歌。
I can sing too.	我也会唱歌。
I can take pictures.	我会拍照。
Great!	太棒了！
I can dance.	我会跳舞。
I can dance too.	我也会跳舞。
I can draw.	我会画画。
I can draw too.	我也会画画。
Look! This is my picture.	看！这是我的画。
We can clean the table.	我们会擦桌子。
We can clean the table too.	我们也会擦桌子。
Great! Thank you.	太棒了！谢谢你们。
